Name,Household Income,Population,Median Age,Per Capita Income,Poverty Count,Unemployment Count,Zipcode,Poverty Rate,Unemployment Rate
ZCTA5 00601,11757.0,17599.0,38.9,7041.0,11282.0,2454.0,00601,64.105915108813,13.9439740894369
ZCTA5 00602,16190.0,39209.0,40.9,8978.0,20428.0,2538.0,00602,52.10028309826826,6.473003647121835
ZCTA5 00603,16645.0,50135.0,40.4,10897.0,25176.0,3588.0,00603,50.21641567767029,7.156676972175127
ZCTA5 00606,13387.0,6304.0,42.8,5960.0,4092.0,204.0,00606,64.91116751269035,3.236040609137056
ZCTA5 00610,18741.0,27590.0,41.4,9266.0,12553.0,1474.0,00610,45.498368974266036,5.342515404131932
ZCTA5 00612,17744.0,62566.0,41.4,10283.0,29872.0,3681.0,00612,47.74478151072468,5.8833871431768054
ZCTA5 00616,14918.0,10687.0,43.7,9002.0,5364.0,568.0,00616,50.19182183961823,5.31486853186114
ZCTA5 00617,17157.0,24508.0,38.7,8762.0,11774.0,1319.0,00617,48.041455851150644,5.3819161090256245
ZCTA5 00622,16727.0,7405.0,48.4,11935.0,4013.0,259.0,00622,54.193112761647534,3.4976367319378796
ZCTA5 00623,16401.0,42321.0,41.3,9101.0,22008.0,1576.0,00623,52.00255192457645,3.7239195671179792
ZCTA5 00624,16832.0,23238.0,37.2,8072.0,13092.0,1665.0,00624,56.338755486702816,7.164988381099922
ZCTA5 00627,17579.0,32936.0,40.1,9738.0,15927.0,2113.0,00627,48.35742045178528,6.415472431382074
ZCTA5 00631,9632.0,1555.0,48.2,7690.0,922.0,305.0,00631,59.29260450160772,19.614147909967844
ZCTA5 00637,15736.0,23610.0,40.9,9158.0,11506.0,1481.0,00637,48.73358746293943,6.272765777213046
ZCTA5 00638,14448.0,17202.0,40.3,8108.0,9961.0,844.0,00638,57.90605743518196,4.9064062318335075
ZCTA5 00641,16292.0,28332.0,41.9,8305.0,14903.0,2717.0,00641,52.601298884653396,9.589863052378936
ZCTA5 00646,29160.0,38008.0,39.4,15397.0,12709.0,3171.0,00646,33.43769732687855,8.342980425173648
ZCTA5 00647,13071.0,5610.0,47.1,7058.0,3551.0,437.0,00647,63.297682709447415,7.789661319073084
ZCTA5 00650,16095.0,14664.0,38.6,7698.0,8200.0,737.0,00650,55.91925804691762,5.025913802509547
ZCTA5 00652,20564.0,3681.0,38.8,11439.0,1597.0,146.0,00652,43.38494974191796,3.9663135017658244
ZCTA5 00653,12236.0,11717.0,38.7,7279.0,7737.0,1072.0,00653,66.03226081761544,9.149099598873432
ZCTA5 00656,14966.0,19546.0,40.3,8327.0,10869.0,1421.0,00656,55.60728537808247,7.270029673590504
ZCTA5 00659,17770.0,40978.0,40.7,10360.0,18522.0,1250.0,00659,45.19986334130509,3.0504172970862413
ZCTA5 00660,19674.0,16474.0,45.1,11588.0,6476.0,1445.0,00660,39.31042855408523,8.771397353405366
ZCTA5 00662,16771.0,41341.0,40.6,8883.0,21976.0,2511.0,00662,53.157882005756996,6.073873394451029
ZCTA5 00664,15401.0,15396.0,36.3,7134.0,9164.0,1203.0,00664,59.521953754221876,7.813717848791894
ZCTA5 00667,13843.0,24089.0,43.6,7256.0,14529.0,1073.0,00667,60.31383619079248,4.454315247623397
ZCTA5 00669,12996.0,26510.0,40.9,8236.0,14802.0,3265.0,00669,55.83553376084497,12.316107129385138
ZCTA5 00670,14456.0,8797.0,40.1,7293.0,4982.0,57.0,00670,56.63294304876663,0.6479481641468683
ZCTA5 00674,18032.0,40826.0,41.1,10520.0,18834.0,2396.0,00674,46.1323666291089,5.8688090922451375
ZCTA5 00676,13416.0,37862.0,38.6,7893.0,21724.0,3076.0,00676,57.376789393059006,8.124240663462047
ZCTA5 00677,18333.0,14569.0,44.6,10236.0,7047.0,708.0,00677,48.369826343606285,4.8596334683231515
ZCTA5 00678,15730.0,26642.0,39.3,9103.0,13864.0,1088.0,00678,52.0381352751295,4.083777494182119
ZCTA5 00680,14500.0,48035.0,41.6,10277.0,23993.0,4090.0,00680,49.948995524097015,8.514624752784428
ZCTA5 00682,15315.0,32820.0,37.3,11236.0,17330.0,2922.0,00682,52.80316879951249,8.90310786106033
ZCTA5 00683,15043.0,31627.0,42.9,9547.0,16122.0,752.0,00683,50.97543238372277,2.3777152433047712
ZCTA5 00685,14128.0,38849.0,42.6,8080.0,21573.0,3296.0,00685,55.53038688254524,8.484130865659347
ZCTA5 00687,18739.0,31785.0,37.0,8816.0,15639.0,2204.0,00687,49.20245398773006,6.934088406481044
ZCTA5 00688,15918.0,12360.0,40.7,8636.0,6151.0,454.0,00688,49.76537216828479,3.6731391585760518
ZCTA5 00690,18491.0,5587.0,41.9,10644.0,2752.0,452.0,00690,49.257204224091645,8.090209414712726
ZCTA5 00692,18076.0,36218.0,37.6,10586.0,17824.0,2498.0,00692,49.213098459329615,6.897122977524988
ZCTA5 00693,18971.0,56327.0,40.0,10209.0,24547.0,2918.0,00693,43.57945567844906,5.180464075842846
ZCTA5 00694,14375.0,88.0,73.1,7647.0,42.0,0.0,00694,47.72727272727273,0.0
ZCTA5 00698,14487.0,37493.0,42.0,8139.0,18728.0,2847.0,00698,49.950657456058465,7.593417437921746
ZCTA5 00703,16532.0,27137.0,40.2,10235.0,13350.0,1987.0,00703,49.19482625198069,7.322106349264842
ZCTA5 00704,13960.0,7842.0,36.0,7585.0,4461.0,272.0,00704,56.885998469778116,3.4685029329252743
ZCTA5 00705,18207.0,23831.0,40.6,10172.0,11827.0,416.0,00705,49.62863497125593,1.7456254458478453
ZCTA5 00707,17489.0,11240.0,43.5,8761.0,5945.0,735.0,00707,52.8914590747331,6.539145907473309
ZCTA5 00714,15820.0,18363.0,38.8,7685.0,10346.0,699.0,00714,56.34155639056799,3.806567554321189
ZCTA5 00715,12440.0,3645.0,41.3,7579.0,2439.0,253.0,00715,66.91358024691358,6.941015089163237
ZCTA5 00716,18514.0,29191.0,42.2,13034.0,14157.0,1371.0,00716,48.49782467198794,4.696653078003494
ZCTA5 00717,11269.0,17285.0,36.9,9711.0,10048.0,968.0,00717,58.131327740815735,5.600231414521261
ZCTA5 00718,18998.0,26073.0,36.9,10107.0,12777.0,893.0,00718,49.00471752387527,3.4249990411536837
ZCTA5 00719,18401.0,29684.0,39.0,9006.0,13849.0,2403.0,00719,46.654763508961054,8.09527017922113
ZCTA5 00720,14533.0,21753.0,37.5,7326.0,12103.0,2117.0,00720,55.63830276283731,9.73199098974854
ZCTA5 00723,14554.0,17826.0,43.3,8723.0,10182.0,1004.0,00723,57.11881521373275,5.632222596207787
