State, avg1218
Alabama,6.023484848484848
Alaska,6.8143939393939394
Arizona,6.267857142857144
Arkansas,5.299567099567099
California,6.787121212121212
Colorado,4.691233766233766
Connecticut,6.0781385281385285
Delaware,5.322835497835498
District Of Columbia,7.142532467532467
Florida,5.719588744588745
Georgia,6.350541125541125
Hawaii,3.807683982683982
Idaho,4.586363636363637
Illinois,6.593831168831168
Indiana,5.459848484848485
Iowa,3.872835497835498
Kansas,4.38582251082251
Kentucky,6.035064935064936
Louisiana,6.0685064935064945
Maine,4.92435064935065
Maryland,5.292424242424242
Massachusetts,4.985173160173161
Michigan,6.327597402597402
Minnesota,4.086796536796537
Mississippi,6.734307359307359
Missouri,5.182575757575757
Montana,4.564935064935065
Nebraska,3.278679653679654
Nevada,7.226406926406928
New Hampshire,3.7713203463203455
New Jersey,6.2564935064935066
New Mexico,6.364069264069265
New York,5.931060606060606
North Carolina,6.109090909090909
North Dakota,2.824458874458874
Ohio,5.712770562770563
Oklahoma,4.556493506493506
Oregon,5.999999999999999
Pennsylvania,5.832575757575759
Puerto Rico,12.335606060606057
Rhode Island,6.693073593073593
South Carolina,5.993398268398268
South Dakota,3.401839826839827
Tennessee,5.682359307359307
Texas,5.040584415584417
Utah,3.8744588744588744
Vermont,3.64534632034632
Virginia,4.60995670995671
Washington,5.898376623376625
West Virginia,6.304761904761905
Wisconsin,4.845454545454545
Wyoming,4.546320346320346
