,MONTH,month_total,DRUNK_DR,month_drunk
0,1,2626,0,1986
1,1,2626,1,624
2,1,2626,2,16
3,2,2315,0,1724
4,2,2315,1,572
5,2,2315,2,19
6,3,2610,0,1968
7,3,2610,1,622
8,3,2610,2,20
9,4,2559,0,1841
10,4,2559,1,693
11,4,2559,2,25
12,5,2965,0,2218
13,5,2965,1,723
14,5,2965,2,24
15,6,3019,0,2217
16,6,3019,1,775
17,6,3019,2,27
18,7,3045,0,2229
19,7,3045,1,795
20,7,3045,2,21
21,8,2986,0,2231
22,8,2986,1,728
23,8,2986,2,26
24,8,2986,4,1
25,9,3022,0,2264
26,9,3022,1,723
27,9,3022,2,35
28,10,3081,0,2405
29,10,3081,1,656
30,10,3081,2,19
31,10,3081,3,1
32,11,2743,0,2114
33,11,2743,1,620
34,11,2743,2,9
35,12,2683,0,2078
36,12,2683,1,586
37,12,2683,2,19
