,fips_code,post_code,state,Temperature(F),Humidity(%),Visibility(mi)
0,1,AL,Alabama,66.37197790372325,70.79932558473239,9.083493794389845
2,4,AZ,Arizona,75.66207730550475,31.436072036555863,11.122667204228822
3,5,AR,Arkansas,60.21353251318099,77.02836879432624,8.574428822495607
4,6,CA,California,65.41979074652048,60.05707994468947,8.993337149771287
5,8,CO,Colorado,48.59034328573472,53.04305495456512,15.358891304347859
6,9,CT,Connecticut,52.46631066436273,70.25007854225574,8.61891976762442
7,10,DE,Delaware,55.650000000000006,70.83866995073892,8.968576709796677
8,11,DC,District of Columbia,57.5904833836858,67.190332326284,9.15332326283988
9,12,FL,Florida,74.59624095115454,74.24728311494752,9.460082153631935
10,13,GA,Georgia,64.38024675972135,70.50160103131368,8.929659747930634
12,16,ID,Idaho,55.05965770171148,55.53186274509804,8.90632911392405
13,17,IL,Illinois,50.255991778868264,70.39724820672008,8.507555966231248
14,18,IN,Indiana,53.73551843913983,75.15797328557571,8.78344419807836
15,19,IA,Iowa,45.997503069995865,71.2281851700123,8.692653735039215
16,20,KS,Kansas,52.742431561996746,74.05152979066023,8.54770346494762
17,21,KY,Kentucky,57.38830573248375,72.0173380928098,8.713052899936262
18,22,LA,Louisiana,71.01578609520061,69.36671604938272,8.922494816862493
19,23,ME,Maine,52.813391557496374,71.83406113537117,8.318494152046783
20,24,MD,Maryland,54.60438258524354,70.50438554216868,8.537132093242287
21,25,MA,Massachusetts,51.52449533318853,69.43986963606736,8.565054971036757
22,26,MI,Michigan,48.59973039114021,71.35785411999004,8.336958685913316
23,27,MN,Minnesota,43.30917995102693,69.84656534346566,8.627607792077718
24,28,MS,Mississippi,66.74650505050516,72.29373737373737,8.910177705977379
25,29,MO,Missouri,55.252016129032675,69.49387560946604,8.923969102792642
26,30,MT,Montana,26.32066666666666,76.31333333333333,7.333448275862068
27,31,NE,Nebraska,51.05296551724141,69.98362068965517,9.040592694693322
28,32,NV,Nevada,55.623708206686935,43.7361216730038,9.547365384615386
29,33,NH,New Hampshire,49.18250303766702,69.53584447144593,8.03913043478261
30,34,NJ,New Jersey,54.33200601051853,70.28924716491323,8.46687038988409
31,35,NM,New Mexico,60.93129770992376,36.07776717557252,9.835704057279235
32,36,NY,New York,52.026897288633386,70.80886359993589,8.710739978070741
33,37,NC,North Carolina,62.93152034878383,68.57658907466129,9.006255862616353
34,38,ND,North Dakota,55.61578947368421,55.10526315789474,9.631578947368421
35,39,OH,Ohio,51.629940496624435,76.20827364922935,8.536191129400997
36,40,OK,Oklahoma,63.17416120706764,61.12333730395076,9.508231495280674
37,41,OR,Oregon,54.681579544938586,68.39580305232558,8.807595017275856
38,42,PA,Pennsylvania,53.17655675973568,74.7913652490439,8.22202356202358
39,44,RI,Rhode Island,55.439968354430256,69.33196202531646,8.820607579079246
40,45,SC,South Carolina,64.86361777858787,69.07798466593647,9.030656881001958
41,46,SD,South Dakota,32.70909090909091,80.0909090909091,7.363636363636363
42,47,TN,Tennessee,61.49852765782492,69.60442634415237,9.013646274735684
43,48,TX,Texas,69.26202413657771,64.77610309911016,9.05768376637787
44,49,UT,Utah,47.934126523505704,59.23892435674212,8.918019417475735
45,50,VT,Vermont,41.34324324324327,74.54054054054055,7.447311827956988
46,51,VA,Virginia,58.61573392146846,72.9970004341477,8.873767848011639
47,53,WA,Washington,55.38378738604246,71.12544112929099,9.207742193755006
48,54,WV,West Virginia,53.28931297709928,75.79541984732825,8.434901365705615
49,55,WI,Wisconsin,43.871950974482736,71.74542897327707,8.480333802533679
50,56,WY,Wyoming,33.17040816326532,70.3061224489796,9.350000000000001
